127.0.0.1 - - [08/Apr/2018:23:07:12 -0500] "GET / HTTP/1.1" 200 11450
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/ HTTP/1.1" 200 13436
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/css/normalize.css HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/css/demo.css HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/css/cs-select.css HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/css/component.css HTTP/1.1" 200 17937
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/css/cs-skin-boxes.css HTTP/1.1" 200 7340
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/js/modernizr.custom.js HTTP/1.1" 200 9414
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/js/classie.js HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/js/selectFx.js HTTP/1.1" 200 8900
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/js/fullscreenForm.js HTTP/1.1" 200 13115
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/img/relatedposts/minimalform1-300x162.png HTTP/1.1" 200 8160
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:22 -0500] "GET /SistemaCetech/img/relatedposts/MorphingButtons-300x162.png HTTP/1.1" 200 27428
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:23 -0500] "GET /SistemaCetech/fonts/codropsicons/codropsicons.eot? HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:23 -0500] "GET /SistemaCetech/img/abacusstar.svg HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:23 -0500] "GET /SistemaCetech/img/conversion.svg HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:23 -0500] "GET /SistemaCetech/img/mobile.svg HTTP/1.1" 200 6121
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:23 -0500] "GET /SistemaCetech/img/social.svg HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:50 -0500] "GET /SistemaCetech/ HTTP/1.1" 200 13436
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:51 -0500] "GET /SistemaCetech/css/demo.css HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:51 -0500] "GET /SistemaCetech/css/normalize.css HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:51 -0500] "GET /SistemaCetech/css/component.css HTTP/1.1" 200 17937
0:0:0:0:0:0:0:1 - - [08/Apr/2018:23:07:51 -0500] "GET /SistemaCetech/css/cs-select.css HTTP/1.1" 200 2173
